Training using device: cuda
Creating test environment 'simple_spread_v3' to get agent information...
error: XDG_RUNTIME_DIR not set in the environment.
Original action sizes: [5, 5, 5]
Original observation sizes: [18, 18, 18]
Action bounds for each agent:
  ['agent_0', 'agent_1', 'agent_2']: [[0.0, 0.0, 0.0], [1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from agent_0: [0.0, 1.0]
Padded action sizes: [5, 5, 5]
Padded observation sizes: [18, 18, 18]
Environment: simple_spread_v3
Number of agents: 3
Agent names: ['agent_0', 'agent_1', 'agent_2']
Creating single 'simple_spread_v3' environment...
error: XDG_RUNTIME_DIR not set in the environment.
Agent Groups: [0, 0, 0]
📁 Training data will be saved to: ./runs/simple_spread_v3/dag_spread_40k
Start Training: simple_spread_v3 | Mode: DAG | Agents: 3
Ep 11750 | Avg Score: -139.66 | Noise: 0.61 | Time: 17987s
Ep 11800 | Avg Score: -149.47 | Noise: 0.61 | Time: 18063s
Ep 11850 | Avg Score: -153.39 | Noise: 0.60 | Time: 18141s
Ep 11900 | Avg Score: -143.26 | Noise: 0.60 | Time: 18218s
Ep 11950 | Avg Score: -139.77 | Noise: 0.60 | Time: 18295s
Ep 12000 | Avg Score: -141.97 | Noise: 0.60 | Time: 18373s
Models saved to ./runs/simple_spread_v3/dag_spread_40k/model.pt
Ep 12050 | Avg Score: -142.81 | Noise: 0.60 | Time: 18450s
Ep 12100 | Avg Score: -147.26 | Noise: 0.60 | Time: 18528s
Ep 12150 | Avg Score: -152.55 | Noise: 0.59 | Time: 18605s
Ep 12200 | Avg Score: -154.50 | Noise: 0.59 | Time: 18682s
Ep 12250 | Avg Score: -144.62 | Noise: 0.59 | Time: 18759s
Ep 12300 | Avg Score: -145.47 | Noise: 0.59 | Time: 18835s
Ep 12350 | Avg Score: -149.08 | Noise: 0.59 | Time: 18912s
Ep 12400 | Avg Score: -144.13 | Noise: 0.59 | Time: 18984s
Ep 12450 | Avg Score: -148.65 | Noise: 0.58 | Time: 19056s
Ep 12500 | Avg Score: -153.55 | Noise: 0.58 | Time: 19131s
Ep 12550 | Avg Score: -151.28 | Noise: 0.58 | Time: 19207s
Ep 12600 | Avg Score: -148.60 | Noise: 0.58 | Time: 19283s
Ep 12650 | Avg Score: -141.06 | Noise: 0.58 | Time: 19360s
Ep 12700 | Avg Score: -135.85 | Noise: 0.58 | Time: 19432s
Ep 12750 | Avg Score: -140.26 | Noise: 0.57 | Time: 19502s
Ep 12800 | Avg Score: -142.94 | Noise: 0.57 | Time: 19576s
Ep 12850 | Avg Score: -142.52 | Noise: 0.57 | Time: 19654s
Ep 12900 | Avg Score: -142.64 | Noise: 0.57 | Time: 19731s
Ep 12950 | Avg Score: -140.37 | Noise: 0.57 | Time: 19806s
Ep 13000 | Avg Score: -141.70 | Noise: 0.57 | Time: 19877s
Models saved to ./runs/simple_spread_v3/dag_spread_40k/model.pt
Ep 13050 | Avg Score: -141.59 | Noise: 0.56 | Time: 19947s
Ep 13100 | Avg Score: -135.60 | Noise: 0.56 | Time: 20018s
Ep 13150 | Avg Score: -133.62 | Noise: 0.56 | Time: 20088s
Ep 13200 | Avg Score: -134.46 | Noise: 0.56 | Time: 20159s
Ep 13250 | Avg Score: -140.40 | Noise: 0.56 | Time: 20230s
Ep 13300 | Avg Score: -145.21 | Noise: 0.56 | Time: 20302s
Ep 13350 | Avg Score: -139.23 | Noise: 0.55 | Time: 20379s
Ep 13400 | Avg Score: -130.96 | Noise: 0.55 | Time: 20455s
Ep 13450 | Avg Score: -134.62 | Noise: 0.55 | Time: 20532s
Ep 13500 | Avg Score: -142.61 | Noise: 0.55 | Time: 20608s
Ep 13550 | Avg Score: -141.22 | Noise: 0.55 | Time: 20685s
Ep 13600 | Avg Score: -132.06 | Noise: 0.55 | Time: 20762s
Ep 13650 | Avg Score: -136.30 | Noise: 0.54 | Time: 20839s
Ep 13700 | Avg Score: -146.22 | Noise: 0.54 | Time: 20917s
Ep 13750 | Avg Score: -144.27 | Noise: 0.54 | Time: 20994s
Ep 13800 | Avg Score: -135.64 | Noise: 0.54 | Time: 21072s
Ep 13850 | Avg Score: -131.13 | Noise: 0.54 | Time: 21149s
Ep 13900 | Avg Score: -132.33 | Noise: 0.54 | Time: 21225s
Ep 13950 | Avg Score: -127.47 | Noise: 0.53 | Time: 21301s
Ep 14000 | Avg Score: -131.47 | Noise: 0.53 | Time: 21378s
Models saved to ./runs/simple_spread_v3/dag_spread_40k/model.pt
Ep 14050 | Avg Score: -137.31 | Noise: 0.53 | Time: 21454s
Ep 14100 | Avg Score: -132.50 | Noise: 0.53 | Time: 21530s
Ep 14150 | Avg Score: -128.95 | Noise: 0.53 | Time: 21606s
Ep 14200 | Avg Score: -136.82 | Noise: 0.53 | Time: 21683s
Ep 14250 | Avg Score: -140.27 | Noise: 0.53 | Time: 21759s
Ep 14300 | Avg Score: -138.04 | Noise: 0.52 | Time: 21836s
Ep 14350 | Avg Score: -137.79 | Noise: 0.52 | Time: 21913s
Ep 14400 | Avg Score: -137.13 | Noise: 0.52 | Time: 21990s
Ep 14450 | Avg Score: -139.01 | Noise: 0.52 | Time: 22066s
Ep 14500 | Avg Score: -138.32 | Noise: 0.52 | Time: 22143s
Ep 14550 | Avg Score: -144.56 | Noise: 0.52 | Time: 22219s
Ep 14600 | Avg Score: -141.07 | Noise: 0.51 | Time: 22295s
Ep 14650 | Avg Score: -132.51 | Noise: 0.51 | Time: 22372s
