Training using device: cuda
Creating test environment 'simple_adversary_v3' to get agent information...
error: XDG_RUNTIME_DIR not set in the environment.
Original action sizes: [5, 5, 5]
Original observation sizes: [8, 10, 10]
Action bounds for each agent:
  ['adversary_0', 'agent_0', 'agent_1']: [[0.0, 0.0, 0.0], [1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from adversary_0: [0.0, 1.0]
Applying observation padding for simple_adversary_v3
Padded action sizes: [5, 5, 5]
Padded observation sizes: [10, 10, 10]
Environment: simple_adversary_v3
Number of agents: 3
Agent names: ['adversary_0', 'agent_0', 'agent_1']
Creating single 'simple_adversary_v3' environment...
error: XDG_RUNTIME_DIR not set in the environment.
Agent Groups: [0, 0, 0]
📁 Training data will be saved to: ./runs/simple_adversary_v3/baseline_adv_40k
Start Training: simple_adversary_v3 | Mode: MLP | Agents: 3
Ep 13400 | Avg Score: -6.42 | Noise: 0.55 | Time: 13824s
Ep 13450 | Avg Score: -7.80 | Noise: 0.55 | Time: 13875s
Ep 13500 | Avg Score: -9.31 | Noise: 0.55 | Time: 13926s
Ep 13550 | Avg Score: -8.69 | Noise: 0.55 | Time: 13977s
Ep 13600 | Avg Score: -5.81 | Noise: 0.55 | Time: 14028s
Ep 13650 | Avg Score: -5.12 | Noise: 0.54 | Time: 14079s
Ep 13700 | Avg Score: -4.08 | Noise: 0.54 | Time: 14130s
Ep 13750 | Avg Score: -3.67 | Noise: 0.54 | Time: 14181s
Ep 13800 | Avg Score: -5.06 | Noise: 0.54 | Time: 14232s
Ep 13850 | Avg Score: -6.41 | Noise: 0.54 | Time: 14283s
Ep 13900 | Avg Score: -8.93 | Noise: 0.54 | Time: 14335s
Ep 13950 | Avg Score: -9.34 | Noise: 0.53 | Time: 14386s
Ep 14000 | Avg Score: -5.88 | Noise: 0.53 | Time: 14438s
Models saved to ./runs/simple_adversary_v3/baseline_adv_40k/model.pt
Ep 14050 | Avg Score: -6.36 | Noise: 0.53 | Time: 14489s
Ep 14100 | Avg Score: -9.63 | Noise: 0.53 | Time: 14541s
Ep 14150 | Avg Score: -10.29 | Noise: 0.53 | Time: 14592s
Ep 14200 | Avg Score: -9.36 | Noise: 0.53 | Time: 14643s
Ep 14250 | Avg Score: -8.33 | Noise: 0.53 | Time: 14695s
Ep 14300 | Avg Score: -7.96 | Noise: 0.52 | Time: 14746s
Ep 14350 | Avg Score: -7.50 | Noise: 0.52 | Time: 14798s
Ep 14400 | Avg Score: -5.85 | Noise: 0.52 | Time: 14849s
